id,name,type_1,type_2,ability_1,ability_2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,weight_kg,height_m,bst,physical_bulk,special_bulk,atk_spatk_ratio,offensive_stat_sum,defensive_stat_sum,effective_bst,bst_efficiency,speed_tier,cluster_id,assigned_role
1,bulbasaur,grass,poison,overgrow,chlorophyll,,45,49,49,65,65,45,6.9,0.7,318,2205,2925,0.7538460378698403,159,159,269,0.8459119496855346,0,4,Support
2,ivysaur,grass,poison,overgrow,chlorophyll,,60,62,63,80,80,60,13.0,1.0,405,3780,4800,0.7749999031250121,202,203,343,0.8469135802469135,1,1,Support
3,venusaur,grass,poison,overgrow,chlorophyll,,80,82,83,100,100,80,100.0,2.0,525,6640,8000,0.8199999180000082,262,263,443,0.8438095238095238,2,7,Special Sweeper
4,charmander,fire,,blaze,solar-power,,39,52,43,60,50,65,8.5,0.6,309,1677,1950,0.8666665222222463,177,132,257,0.8317152103559871,1,4,Support
5,charmeleon,fire,,blaze,solar-power,,58,64,58,80,65,80,19.0,1.1,405,3364,3770,0.7999999000000124,224,181,341,0.8419753086419753,2,1,Special Sweeper
6,charizard,fire,flying,blaze,solar-power,,78,84,78,109,85,100,90.5,1.7,534,6084,6630,0.7706421311337495,293,241,450,0.8426966292134831,3,0,Special Sweeper
7,squirtle,water,,torrent,rain-dish,,44,48,65,50,64,43,9.0,0.5,314,2860,2816,0.9599998080000384,141,173,266,0.8471337579617835,0,4,Support
8,wartortle,water,,torrent,rain-dish,,59,63,80,65,80,58,22.5,1.0,405,4720,4720,0.969230620118366,186,219,342,0.8444444444444444,1,1,Support
9,blastoise,water,,torrent,rain-dish,,79,83,100,85,105,78,85.5,1.6,530,7900,8295,0.9764704733564148,246,284,447,0.8433962264150944,1,7,Bulky Offense
10,caterpie,bug,,shield-dust,run-away,,45,30,35,20,20,45,2.9,0.3,195,1575,900,1.499999250000375,95,100,175,0.8974358974358975,0,4,Support
11,metapod,bug,,shed-skin,,,50,20,55,25,25,30,9.9,0.7,205,2750,1250,0.799999680000128,75,130,185,0.902439024390244,0,4,Support
12,butterfree,bug,flying,compound-eyes,tinted-lens,,60,45,50,90,80,70,32.0,1.1,395,3000,4800,0.4999999444444506,205,190,350,0.8860759493670886,1,1,Support
13,weedle,bug,poison,shield-dust,run-away,,40,35,30,20,20,50,3.2,0.3,195,1200,800,1.7499991250004376,105,90,175,0.8974358974358975,1,4,Support
14,kakuna,bug,poison,shed-skin,,,45,25,50,25,25,35,10.0,0.6,205,2250,1125,0.99999960000016,85,120,180,0.8780487804878049,0,4,Support
15,beedrill,bug,poison,swarm,sniper,,65,90,40,45,80,75,29.5,1.0,395,2600,5200,1.9999995555556545,210,185,350,0.8860759493670886,1,1,Support
16,pidgey,flying,normal,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,1.8,0.3,251,1600,1400,1.2857139183674515,136,115,216,0.8605577689243028,1,4,Support
17,pidgeotto,flying,normal,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,30.0,1.1,349,3465,3150,1.1999997600000478,181,168,299,0.8567335243553008,1,4,Support
18,pidgeot,flying,normal,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,39.5,1.5,479,6225,5810,1.14285697959186,251,228,409,0.8538622129436325,3,0,Hybrid Offense
19,rattata,normal,,run-away,guts,hustle,30,56,35,25,35,72,3.5,0.3,253,1050,1050,2.2399991040003586,153,100,228,0.9011857707509882,1,4,Support
20,raticate,normal,,run-away,guts,hustle,55,81,60,50,70,97,18.5,0.7,413,3300,3850,1.6199996760000648,228,185,363,0.8789346246973365,2,1,Physical Sweeper
21,spearow,flying,normal,keen-eye,sniper,,40,60,30,31,31,70,2.0,0.3,262,1200,1240,1.9354832466183076,161,101,231,0.8816793893129771,1,4,Support
22,fearow,flying,normal,keen-eye,sniper,,65,90,65,61,61,100,38.0,1.2,442,4225,3965,1.4754095941951484,251,191,381,0.8619909502262444,3,1,Physical Sweeper
23,ekans,poison,,intimidate,shed-skin,unnerve,35,60,44,40,54,55,6.9,2.0,288,1540,1890,1.4999996250000935,155,133,248,0.8611111111111112,1,4,Support
24,arbok,poison,,intimidate,shed-skin,unnerve,60,95,69,65,79,80,65.0,3.5,448,4140,4740,1.4615382366864251,240,208,383,0.8549107142857143,2,1,Physical Sweeper
25,pikachu,electric,,static,lightning-rod,,35,55,40,50,50,90,6.0,0.4,320,1400,1750,1.0999997800000438,195,125,270,0.84375,2,4,Hybrid Offense
26,raichu,electric,,static,lightning-rod,,60,90,55,90,80,110,30.0,0.8,485,3300,4800,0.9999998888889012,290,195,395,0.8144329896907216,3,0,Hybrid Offense
27,sandshrew,ground,,sand-veil,sand-rush,,50,75,85,20,30,40,12.0,0.6,300,4250,1500,3.7499981250009378,135,165,280,0.9333333333333332,0,6,Support
28,sandslash,ground,,sand-veil,sand-rush,,75,100,110,45,55,65,29.5,1.0,450,8250,4125,2.2222217283951715,210,240,405,0.9,1,3,Bulky Offense
29,nidoran-f,poison,,poison-point,rivalry,hustle,55,47,52,40,40,41,7.0,0.4,275,2860,2200,1.1749997062500734,128,147,235,0.8545454545454545,0,4,Support
30,nidorina,poison,,poison-point,rivalry,hustle,70,62,67,55,55,56,20.0,0.8,365,4690,3850,1.1272725223140867,173,192,310,0.8493150684931506,1,4,Support
31,nidoqueen,ground,poison,poison-point,rivalry,sheer-force,90,92,87,75,85,76,60.0,1.3,505,7830,7650,1.2266665031111328,243,262,430,0.8514851485148515,1,7,Bulky Offense
32,nidoran-m,poison,,poison-point,rivalry,hustle,46,57,40,40,40,50,9.0,0.5,273,1840,1840,1.424999643750089,147,126,233,0.8534798534798534,1,4,Support
33,nidorino,poison,,poison-point,rivalry,hustle,61,72,57,55,55,65,19.5,0.9,365,3477,3355,1.3090906710744237,192,173,310,0.8493150684931506,1,4,Support
