id,name,type_1,type_2,ability_1,ability_2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,weight_kg,height_m,bst,physical_bulk,special_bulk,atk_spatk_ratio,offensive_stat_sum,defensive_stat_sum,bst_efficiency,speed_tier
1,bulbasaur,grass,poison,overgrow,chlorophyll,,45,49,49,65,65,45,6.9,0.7,318,2205,2925,0.7538460378698403,159,159,1.0,0
2,ivysaur,grass,poison,overgrow,chlorophyll,,60,62,63,80,80,60,13.0,1.0,405,3780,4800,0.7749999031250121,202,203,1.0,1
3,venusaur,grass,poison,overgrow,chlorophyll,,80,82,83,100,100,80,100.0,2.0,525,6640,8000,0.8199999180000082,262,263,1.0,2
4,charmander,fire,,blaze,solar-power,,39,52,43,60,50,65,8.5,0.6,309,1677,1950,0.8666665222222463,177,132,1.0,1
5,charmeleon,fire,,blaze,solar-power,,58,64,58,80,65,80,19.0,1.1,405,3364,3770,0.7999999000000124,224,181,1.0,2
6,charizard,fire,flying,blaze,solar-power,,78,84,78,109,85,100,90.5,1.7,534,6084,6630,0.7706421311337495,293,241,1.0,3
7,squirtle,water,,torrent,rain-dish,,44,48,65,50,64,43,9.0,0.5,314,2860,2816,0.9599998080000384,141,173,1.0,0
8,wartortle,water,,torrent,rain-dish,,59,63,80,65,80,58,22.5,1.0,405,4720,4720,0.9692306201183661,186,219,1.0,1
9,blastoise,water,,torrent,rain-dish,,79,83,100,85,105,78,85.5,1.6,530,7900,8295,0.9764704733564149,246,284,1.0,1
10,caterpie,bug,,shield-dust,run-away,,45,30,35,20,20,45,2.9,0.3,195,1575,900,1.499999250000375,95,100,1.0,0
11,metapod,bug,,shed-skin,,,50,20,55,25,25,30,9.9,0.7,205,2750,1250,0.799999680000128,75,130,1.0,0
12,butterfree,bug,flying,compound-eyes,tinted-lens,,60,45,50,90,80,70,32.0,1.1,395,3000,4800,0.4999999444444506,205,190,1.0,1
13,weedle,bug,poison,shield-dust,run-away,,40,35,30,20,20,50,3.2,0.3,195,1200,800,1.7499991250004376,105,90,1.0,1
14,kakuna,bug,poison,shed-skin,,,45,25,50,25,25,35,10.0,0.6,205,2250,1125,0.99999960000016,85,120,1.0,0
15,beedrill,bug,poison,swarm,sniper,,65,90,40,45,80,75,29.5,1.0,395,2600,5200,1.9999995555556542,210,185,1.0,1
16,pidgey,normal,flying,keen-eye,tangled-feet,big-pecks,40,45,40,35,35,56,1.8,0.3,251,1600,1400,1.2857139183674517,136,115,1.0,1
17,pidgeotto,normal,flying,keen-eye,tangled-feet,big-pecks,63,60,55,50,50,71,30.0,1.1,349,3465,3150,1.1999997600000478,181,168,1.0,1
18,pidgeot,normal,flying,keen-eye,tangled-feet,big-pecks,83,80,75,70,70,101,39.5,1.5,479,6225,5810,1.14285697959186,251,228,1.0,3
19,rattata,normal,,run-away,guts,hustle,30,56,35,25,35,72,3.5,0.3,253,1050,1050,2.2399991040003586,153,100,1.0,1
20,raticate,normal,,run-away,guts,hustle,55,81,60,50,70,97,18.5,0.7,413,3300,3850,1.6199996760000648,228,185,1.0,2
21,spearow,normal,flying,keen-eye,sniper,,40,60,30,31,31,70,2.0,0.3,262,1200,1240,1.9354832466183076,161,101,1.0,1
22,fearow,normal,flying,keen-eye,sniper,,65,90,65,61,61,100,38.0,1.2,442,4225,3965,1.4754095941951484,251,191,1.0,3
23,ekans,poison,,intimidate,shed-skin,unnerve,35,60,44,40,54,55,6.9,2.0,288,1540,1890,1.4999996250000935,155,133,1.0,1
24,arbok,poison,,intimidate,shed-skin,unnerve,60,95,69,65,79,80,65.0,3.5,448,4140,4740,1.4615382366864251,240,208,1.0,2
25,pikachu,electric,,static,lightning-rod,,35,55,40,50,50,90,6.0,0.4,320,1400,1750,1.0999997800000438,195,125,1.0,2
26,raichu,electric,,static,lightning-rod,,60,90,55,90,80,110,30.0,0.8,485,3300,4800,0.9999998888889012,290,195,1.0,3
27,sandshrew,ground,,sand-veil,sand-rush,,50,75,85,20,30,40,12.0,0.6,300,4250,1500,3.7499981250009378,135,165,1.0,0
28,sandslash,ground,,sand-veil,sand-rush,,75,100,110,45,55,65,29.5,1.0,450,8250,4125,2.2222217283951715,210,240,1.0,1
29,nidoran-f,poison,,poison-point,rivalry,hustle,55,47,52,40,40,41,7.0,0.4,275,2860,2200,1.1749997062500734,128,147,1.0,0
30,nidorina,poison,,poison-point,rivalry,hustle,70,62,67,55,55,56,20.0,0.8,365,4690,3850,1.1272725223140867,173,192,1.0,1
31,nidoqueen,poison,ground,poison-point,rivalry,sheer-force,90,92,87,75,85,76,60.0,1.3,505,7830,7650,1.2266665031111328,243,262,1.0,1
32,nidoran-m,poison,,poison-point,rivalry,hustle,46,57,40,40,40,50,9.0,0.5,273,1840,1840,1.424999643750089,147,126,1.0,1
33,nidorino,poison,,poison-point,rivalry,hustle,61,72,57,55,55,65,19.5,0.9,365,3477,3355,1.3090906710744235,192,173,1.0,1
34,nidoking,poison,ground,poison-point,rivalry,sheer-force,81,102,77,85,75,85,62.0,1.4,505,6237,6075,1.1999998588235459,272,233,1.0,2
35,clefairy,fairy,,cute-charm,magic-guard,friend-guard,70,45,48,60,65,35,7.5,0.6,323,3360,4550,0.7499998750000207,140,183,1.0,0
36,clefable,fairy,,cute-charm,magic-guard,unaware,95,70,73,95,90,60,40.0,1.3,483,6935,8550,0.7368420277008392,225,258,1.0,1
37,vulpix,fire,,flash-fire,drought,,38,41,40,50,65,65,9.9,0.6,299,1520,2470,0.8199998360000328,156,143,1.0,1
38,ninetales,fire,,flash-fire,drought,,73,76,75,81,100,100,19.9,1.1,505,5475,7300,0.9382714891022853,257,248,1.0,3
39,jigglypuff,normal,fairy,cute-charm,competitive,friend-guard,115,45,20,45,25,20,5.5,0.5,270,2300,2875,0.9999997777778271,110,160,1.0,0
40,wigglytuff,normal,fairy,cute-charm,competitive,frisk,140,70,45,85,50,45,12.0,1.0,435,6300,7000,0.8235293148789041,200,235,1.0,0
41,zubat,poison,flying,inner-focus,infiltrator,,40,45,35,30,40,55,7.5,0.8,245,1400,1600,1.4999995000001667,130,115,1.0,1
42,golbat,poison,flying,inner-focus,infiltrator,,75,80,70,65,75,90,55.0,1.6,455,5250,5625,1.2307690414201473,235,220,1.0,2
43,oddish,grass,poison,chlorophyll,run-away,,45,50,55,75,65,30,5.4,0.5,320,2475,2925,0.6666665777777896,155,165,1.0,0
44,gloom,grass,poison,chlorophyll,stench,,60,65,70,85,75,40,8.6,0.8,395,4200,4500,0.7647057923875538,190,205,1.0,0
45,vileplume,grass,poison,chlorophyll,effect-spore,,75,80,85,110,90,50,18.6,1.2,490,6375,6750,0.7272726611570308,240,250,1.0,1
46,paras,bug,grass,effect-spore,dry-skin,damp,35,70,55,45,55,25,5.4,0.3,285,1925,1925,1.5555552098766199,140,145,1.0,0
47,parasect,bug,grass,effect-spore,dry-skin,damp,60,95,80,60,80,30,29.5,1.0,405,4800,4800,1.5833330694444883,185,220,1.0,0
48,venonat,bug,poison,compound-eyes,tinted-lens,run-away,60,55,50,40,55,45,30.0,1.0,305,3000,3300,1.374999656250086,140,165,1.0,0
49,venomoth,bug,poison,shield-dust,tinted-lens,wonder-skin,70,65,60,90,75,90,12.5,1.5,450,4200,5250,0.7222221419753175,245,205,1.0,2
50,diglett,ground,,sand-veil,arena-trap,sand-force,10,55,25,35,45,95,0.8,0.2,265,250,450,1.5714281224491078,185,80,1.0,2
51,dugtrio,ground,,sand-veil,arena-trap,sand-force,35,100,50,50,70,120,33.3,0.7,425,1750,2450,1.99999960000008,270,155,1.0,4
52,meowth,normal,,pickup,technician,unnerve,40,45,35,40,40,90,4.2,0.4,290,1400,1600,1.1249997187500702,175,115,1.0,2
