id,name,type,category,base_power,accuracy,priority,target,flags,secondary,boosts,self,volatileStatus,selfSwitch,recoil,drain,multihit,selfdestruct,critRatio
10000000voltthunderbolt,"10,000,000 Volt Thunderbolt",electric,Special,195,true,0,normal,{},{},{},{},,False,"[0, 1]","[0, 1]",1,,3
absorb,Absorb,grass,Special,20,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""heal"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[1, 2]",1,,1
accelerock,Accelerock,rock,Physical,40,100,1,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
acid,Acid,poison,Special,40,100,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""boosts"": {""spd"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
acidarmor,Acid Armor,poison,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""def"": 2}",{},,False,"[0, 1]","[0, 1]",1,,1
aciddownpour,Acid Downpour,poison,Physical,1,true,0,normal,{},{},{},{},,False,"[0, 1]","[0, 1]",1,,1
acidspray,Acid Spray,poison,Special,40,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""bullet"": 1}","{""chance"": 100, ""boosts"": {""spd"": -2}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
acrobatics,Acrobatics,flying,Physical,55,100,0,any,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""distance"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
acupressure,Acupressure,normal,Status,0,true,0,adjacentAllyOrSelf,"{""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
aerialace,Aerial Ace,flying,Physical,60,true,0,any,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""distance"": 1, ""metronome"": 1, ""slicing"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
aeroblast,Aeroblast,flying,Special,100,95,0,any,"{""protect"": 1, ""mirror"": 1, ""distance"": 1, ""metronome"": 1, ""wind"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,2
afteryou,After You,normal,Status,0,true,0,normal,"{""bypasssub"": 1, ""allyanim"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
agility,Agility,psychic,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""spe"": 2}",{},,False,"[0, 1]","[0, 1]",1,,1
aircutter,Air Cutter,flying,Special,60,95,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""slicing"": 1, ""wind"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,2
airslash,Air Slash,flying,Special,75,95,0,any,"{""protect"": 1, ""mirror"": 1, ""distance"": 1, ""metronome"": 1, ""slicing"": 1}","{""chance"": 30, ""volatileStatus"": ""flinch""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
alloutpummeling,All-Out Pummeling,fighting,Physical,1,true,0,normal,{},{},{},{},,False,"[0, 1]","[0, 1]",1,,1
alluringvoice,Alluring Voice,fairy,Special,80,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""sound"": 1, ""bypasssub"": 1, ""metronome"": 1}","{""chance"": 100}",{},{},,False,"[0, 1]","[0, 1]",1,,1
allyswitch,Ally Switch,psychic,Status,0,true,2,self,"{""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
amnesia,Amnesia,psychic,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""spd"": 2}",{},,False,"[0, 1]","[0, 1]",1,,1
anchorshot,Anchor Shot,steel,Physical,80,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 100}",{},{},,False,"[0, 1]","[0, 1]",1,,1
ancientpower,Ancient Power,rock,Special,60,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""self"": {""boosts"": {""atk"": 1, ""def"": 1, ""spa"": 1, ""spd"": 1, ""spe"": 1}}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
appleacid,Apple Acid,grass,Special,80,100,0,normal,"{""protect"": 1, ""mirror"": 1}","{""chance"": 100, ""boosts"": {""spd"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
aquacutter,Aqua Cutter,water,Physical,70,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""slicing"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,2
aquajet,Aqua Jet,water,Physical,40,100,1,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
aquaring,Aqua Ring,water,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},{},{},aquaring,False,"[0, 1]","[0, 1]",1,,1
aquastep,Aqua Step,water,Physical,80,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""dance"": 1, ""metronome"": 1}","{""chance"": 100, ""self"": {""boosts"": {""spe"": 1}}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
aquatail,Aqua Tail,water,Physical,90,90,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
armorcannon,Armor Cannon,fire,Special,120,100,0,normal,"{""protect"": 1, ""mirror"": 1}",{},{},"{""boosts"": {""def"": -1, ""spd"": -1}}",,False,"[0, 1]","[0, 1]",1,,1
armthrust,Arm Thrust,fighting,Physical,15,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]","[2, 5]",,1
aromatherapy,Aromatherapy,grass,Status,0,true,0,allyTeam,"{""snatch"": 1, ""distance"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
aromaticmist,Aromatic Mist,fairy,Status,0,true,0,adjacentAlly,"{""bypasssub"": 1, ""metronome"": 1}",{},"{""spd"": 1}",{},,False,"[0, 1]","[0, 1]",1,,1
assist,Assist,normal,Status,0,true,0,self,"{""failencore"": 1, ""nosleeptalk"": 1, ""noassist"": 1, ""failcopycat"": 1, ""failmimic"": 1, ""failinstruct"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
assurance,Assurance,dark,Physical,60,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
astonish,Astonish,ghost,Physical,30,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 30, ""volatileStatus"": ""flinch""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
astralbarrage,Astral Barrage,ghost,Special,120,100,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
attackorder,Attack Order,bug,Physical,90,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,2
attract,Attract,normal,Status,0,100,0,normal,"{""protect"": 1, ""reflectable"": 1, ""mirror"": 1, ""bypasssub"": 1, ""metronome"": 1}",{},{},{},attract,False,"[0, 1]","[0, 1]",1,,1
aurasphere,Aura Sphere,fighting,Special,80,true,0,any,"{""protect"": 1, ""mirror"": 1, ""distance"": 1, ""metronome"": 1, ""bullet"": 1, ""pulse"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
aurawheel,Aura Wheel,electric,Physical,110,100,0,normal,"{""protect"": 1, ""mirror"": 1}","{""chance"": 100, ""self"": {""boosts"": {""spe"": 1}}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
aurorabeam,Aurora Beam,ice,Special,65,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""boosts"": {""atk"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
auroraveil,Aurora Veil,ice,Status,0,true,0,allySide,"{""snatch"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
autotomize,Autotomize,steel,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""spe"": 2}",{},,False,"[0, 1]","[0, 1]",1,,1
avalanche,Avalanche,ice,Physical,60,100,-4,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
axekick,Axe Kick,fighting,Physical,120,90,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 30, ""volatileStatus"": ""confusion""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
babydolleyes,Baby-Doll Eyes,fairy,Status,0,100,1,normal,"{""protect"": 1, ""reflectable"": 1, ""mirror"": 1, ""allyanim"": 1, ""metronome"": 1}",{},"{""atk"": -1}",{},,False,"[0, 1]","[0, 1]",1,,1
baddybad,Baddy Bad,dark,Special,80,95,0,normal,"{""protect"": 1, ""mirror"": 1}",{},{},"{""sideCondition"": ""reflect""}",,False,"[0, 1]","[0, 1]",1,,1
banefulbunker,Baneful Bunker,poison,Status,0,true,4,self,"{""noassist"": 1, ""failcopycat"": 1}",{},{},{},banefulbunker,False,"[0, 1]","[0, 1]",1,,1
barbbarrage,Barb Barrage,poison,Physical,60,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 50, ""status"": ""psn""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
barrage,Barrage,normal,Physical,15,85,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""bullet"": 1}",{},{},{},,False,"[0, 1]","[0, 1]","[2, 5]",,1
barrier,Barrier,psychic,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},"{""def"": 2}",{},,False,"[0, 1]","[0, 1]",1,,1
batonpass,Baton Pass,normal,Status,0,true,0,self,"{""metronome"": 1}",{},{},{},,copyvolatile,"[0, 1]","[0, 1]",1,,1
beakblast,Beak Blast,flying,Physical,100,100,-3,normal,"{""protect"": 1, ""failmefirst"": 1, ""nosleeptalk"": 1, ""noassist"": 1, ""failcopycat"": 1, ""failinstruct"": 1, ""bullet"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
beatup,Beat Up,dark,Physical,0,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""allyanim"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
behemothbash,Behemoth Bash,steel,Physical,100,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""failcopycat"": 1, ""failmimic"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
behemothblade,Behemoth Blade,steel,Physical,100,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""failcopycat"": 1, ""failmimic"": 1, ""slicing"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
belch,Belch,poison,Special,120,90,0,normal,"{""protect"": 1, ""failmefirst"": 1, ""nosleeptalk"": 1, ""noassist"": 1, ""failcopycat"": 1, ""failmimic"": 1, ""failinstruct"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bellydrum,Belly Drum,normal,Status,0,true,0,self,"{""snatch"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bestow,Bestow,normal,Status,0,true,0,normal,"{""mirror"": 1, ""bypasssub"": 1, ""allyanim"": 1, ""noassist"": 1, ""failcopycat"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bide,Bide,normal,Physical,0,true,1,self,"{""contact"": 1, ""protect"": 1, ""metronome"": 1, ""nosleeptalk"": 1, ""failinstruct"": 1}",{},{},{},bide,False,"[0, 1]","[0, 1]",1,,1
bind,Bind,normal,Physical,15,85,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},partiallytrapped,False,"[0, 1]","[0, 1]",1,,1
bite,Bite,dark,Physical,60,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""bite"": 1}","{""chance"": 30, ""volatileStatus"": ""flinch""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bitterblade,Bitter Blade,fire,Physical,90,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""heal"": 1, ""metronome"": 1, ""slicing"": 1}",{},{},{},,False,"[0, 1]","[1, 2]",1,,1
bittermalice,Bitter Malice,ghost,Special,75,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 100, ""boosts"": {""atk"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
blackholeeclipse,Black Hole Eclipse,dark,Physical,1,true,0,normal,{},{},{},{},,False,"[0, 1]","[0, 1]",1,,1
blastburn,Blast Burn,fire,Special,150,90,0,normal,"{""recharge"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},"{""volatileStatus"": ""mustrecharge""}",,False,"[0, 1]","[0, 1]",1,,1
blazekick,Blaze Kick,fire,Physical,85,90,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""status"": ""brn""}",{},{},,False,"[0, 1]","[0, 1]",1,,2
blazingtorque,Blazing Torque,fire,Physical,80,100,0,normal,"{""protect"": 1, ""failencore"": 1, ""failmefirst"": 1, ""nosleeptalk"": 1, ""noassist"": 1, ""failcopycat"": 1, ""failmimic"": 1, ""failinstruct"": 1, ""nosketch"": 1}","{""chance"": 30, ""status"": ""brn""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bleakwindstorm,Bleakwind Storm,flying,Special,100,80,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""wind"": 1}","{""chance"": 30, ""boosts"": {""spe"": -1}}",{},{},,False,"[0, 1]","[0, 1]",1,,1
blizzard,Blizzard,ice,Special,110,70,0,allAdjacentFoes,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""wind"": 1}","{""chance"": 10, ""status"": ""frz""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
block,Block,normal,Status,0,true,0,normal,"{""reflectable"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bloodmoon,Blood Moon,normal,Special,140,100,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1, ""cantusetwice"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bloomdoom,Bloom Doom,grass,Physical,1,true,0,normal,{},{},{},{},,False,"[0, 1]","[0, 1]",1,,1
blueflare,Blue Flare,fire,Special,130,85,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 20, ""status"": ""brn""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bodypress,Body Press,fighting,Physical,80,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
bodyslam,Body Slam,normal,Physical,85,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""nonsky"": 1, ""metronome"": 1, ""minimize"": 1}","{""chance"": 30, ""status"": ""par""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
boltbeak,Bolt Beak,electric,Physical,85,100,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
boltstrike,Bolt Strike,electric,Physical,130,85,0,normal,"{""contact"": 1, ""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 20, ""status"": ""par""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
boneclub,Bone Club,ground,Physical,65,85,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}","{""chance"": 10, ""volatileStatus"": ""flinch""}",{},{},,False,"[0, 1]","[0, 1]",1,,1
bonemerang,Bonemerang,ground,Physical,50,90,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",2,,1
bonerush,Bone Rush,ground,Physical,25,90,0,normal,"{""protect"": 1, ""mirror"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]","[2, 5]",,1
boomburst,Boomburst,normal,Special,140,100,0,allAdjacent,"{""protect"": 1, ""mirror"": 1, ""sound"": 1, ""bypasssub"": 1, ""metronome"": 1}",{},{},{},,False,"[0, 1]","[0, 1]",1,,1
