a_weakness_overlap,a_role_balance,a_speed_variance,a_bst_efficiency,b_weakness_overlap,b_role_balance,b_speed_variance,b_bst_efficiency,team_a_wins
0,0.5,1.224744871391589,0.8497382822313675,0,0.75,1.0,0.864293421222965,0
1,1.0,1.299038105676658,0.8470550816416234,4,0.75,1.0897247358851685,0.8733521277487659,1
2,1.0,0.8660254037844386,0.8723508375682288,1,0.75,1.0897247358851685,0.8386956633808058,1
0,0.75,0.82915619758885,0.8743288074756499,0,0.75,1.479019945774904,0.8275273975743404,1
1,0.75,1.0897247358851685,0.8342364321177881,0,1.0,0.82915619758885,0.867365020912382,0
2,1.0,0.82915619758885,0.8612476619125556,2,0.75,1.224744871391589,0.8651635714474292,0
1,0.75,1.224744871391589,0.8629229544514586,0,0.75,1.299038105676658,0.8683726164262496,0
2,0.75,0.5,0.8458905736207526,2,0.75,1.299038105676658,0.8337450804243669,0
2,0.5,0.4330127018922193,0.8406236262690245,1,0.75,0.82915619758885,0.8751472283996377,1
1,0.75,1.479019945774904,0.8438118203710515,1,0.75,0.5,0.8589809154793993,1
1,0.75,1.0,0.84892324661494,0,0.25,0.4330127018922193,0.8475381227430703,1
2,0.5,0.82915619758885,0.866333514982798,0,0.75,1.0,0.8854545454545455,0
0,0.5,0.4330127018922193,0.8416715113718443,0,1.0,0.82915619758885,0.8643382494698285,0
0,1.0,1.299038105676658,0.8828684708278772,0,1.0,1.479019945774904,0.8527182947100811,1
3,1.0,0.7071067811865476,0.8660322381160414,2,0.5,1.224744871391589,0.8875332399158686,1
2,1.0,1.299038105676658,0.8755549166750607,2,0.5,0.5,0.8529711846895011,1
2,1.0,1.5811388300841898,0.8336215500034414,2,1.0,0.4330127018922193,0.8816954474097332,1
0,1.0,1.299038105676658,0.8395516303133739,2,1.0,1.299038105676658,0.8653938778981739,0
5,1.0,1.5,0.8642989409319884,3,0.5,0.4330127018922193,0.8420847182608999,1
0,0.75,0.7071067811865476,0.887749338396941,0,1.0,0.7071067811865476,0.8479222922292229,1
1,0.75,1.0897247358851685,0.8589479565772669,4,0.75,0.7071067811865476,0.8665893878120207,1
0,0.5,0.4330127018922193,0.8823003038166972,1,0.75,0.7071067811865476,0.865209158311851,1
0,0.75,0.4330127018922193,0.8784247846017154,1,0.75,0.7071067811865476,0.8750500753493596,0
2,0.75,0.5,0.8284624391615918,1,0.75,0.7071067811865476,0.9011842105263158,1
1,0.75,1.0897247358851685,0.8603772500208221,1,0.75,0.7071067811865476,0.8616458758222889,1
0,1.0,0.82915619758885,0.8449451489533011,1,0.75,1.0,0.8608718939591072,0
4,0.5,0.4330127018922193,0.8896469912815383,0,0.75,1.118033988749895,0.8391505269887354,0
4,0.5,0.4330127018922193,0.8948426212590299,2,0.75,0.7071067811865476,0.8199614877875747,1
3,0.5,0.7071067811865476,0.8463356090678655,5,0.5,1.224744871391589,0.8720582712861029,0
0,0.25,0.5,0.8526777983920841,3,0.75,0.4330127018922193,0.8655449948796723,0
0,0.75,0.82915619758885,0.8838510101010101,3,0.75,0.82915619758885,0.8473859914336105,0
0,0.75,0.82915619758885,0.850940864945756,2,0.75,0.4330127018922193,0.8833364661654135,1
2,1.0,1.118033988749895,0.8638398786499495,0,0.5,1.299038105676658,0.8686804842732678,0
1,0.75,1.224744871391589,0.8645783582250105,0,0.5,0.4330127018922193,0.8622053305024847,1
1,0.75,0.8660254037844386,0.851603509742455,1,0.75,1.0,0.8319281642441345,1
2,0.75,1.0897247358851685,0.8332334574900735,0,0.75,0.0,0.8781283825392476,1
1,0.75,1.118033988749895,0.875424381142694,2,0.75,0.4330127018922193,0.8647438597448143,1
3,1.0,1.6393596310755,0.861656314699793,0,0.75,1.299038105676658,0.8535322993739329,0
